Date,MalariaCnt
1/31/1998 0:00,244
2/28/1998 0:00,562
3/31/1998 0:00,312
4/30/1998 0:00,269
5/31/1998 0:00,101
6/30/1998 0:00,17
7/31/1998 0:00,9
8/31/1998 0:00,39
9/30/1998 0:00,141
10/31/1998 0:00,221
11/30/1998 0:00,260
12/31/1998 0:00,626
1/31/1999 0:00,376
2/28/1999 0:00,759
3/31/1999 0:00,694
4/30/1999 0:00,915
5/31/1999 0:00,610
6/30/1999 0:00,122
7/31/1999 0:00,31
8/31/1999 0:00,97
9/30/1999 0:00,335
10/31/1999 0:00,377
11/30/1999 0:00,969
12/31/1999 0:00,403
1/31/2000 0:00,393
2/29/2000 0:00,242
3/31/2000 0:00,573
4/30/2000 0:00,614
5/31/2000 0:00,198
6/30/2000 0:00,82
7/31/2000 0:00,75
8/31/2000 0:00,92
9/30/2000 0:00,106
10/31/2000 0:00,978
11/30/2000 0:00,1303
12/31/2000 0:00,797
1/31/2001 0:00,560
2/28/2001 0:00,516
3/31/2001 0:00,253
4/30/2001 0:00,360
5/31/2001 0:00,511
6/30/2001 0:00,47
7/31/2001 0:00,30
8/31/2001 0:00,27
9/30/2001 0:00,370
10/31/2001 0:00,400
11/30/2001 0:00,546
12/31/2001 0:00,409
1/31/2002 0:00,375
2/28/2002 0:00,421
3/31/2002 0:00,506
4/30/2002 0:00,419
5/31/2002 0:00,189
6/30/2002 0:00,61
7/31/2002 0:00,14
8/31/2002 0:00,10
9/30/2002 0:00,238
10/31/2002 0:00,146
11/30/2002 0:00,133
12/31/2002 0:00,303
1/31/2003 0:00,1169
2/28/2003 0:00,400
3/31/2003 0:00,197
4/30/2003 0:00,292
5/31/2003 0:00,233
6/30/2003 0:00,42
7/31/2003 0:00,24
8/31/2003 0:00,13
9/30/2003 0:00,185
10/31/2003 0:00,643
11/30/2003 0:00,269
12/31/2003 0:00,566
1/31/2004 0:00,115
2/29/2004 0:00,81
3/31/2004 0:00,533
4/30/2004 0:00,348
5/31/2004 0:00,261
6/30/2004 0:00,64
7/31/2004 0:00,31
8/31/2004 0:00,29
9/30/2004 0:00,290
10/31/2004 0:00,300
11/30/2004 0:00,343
12/31/2004 0:00,232
1/31/2005 0:00,953
2/28/2005 0:00,216
3/31/2005 0:00,174
4/30/2005 0:00,67
5/31/2005 0:00,107
6/30/2005 0:00,29
7/31/2005 0:00,20
8/31/2005 0:00,31
9/30/2005 0:00,123
10/31/2005 0:00,108
11/30/2005 0:00,23
12/31/2005 0:00,233
1/31/2006 0:00,1133
2/28/2006 0:00,1015
3/31/2006 0:00,410
4/30/2006 0:00,156
5/31/2006 0:00,98
6/30/2006 0:00,8
7/31/2006 0:00,2
8/31/2006 0:00,49
9/30/2006 0:00,103
10/31/2006 0:00,193
11/30/2006 0:00,141
12/31/2006 0:00,114
1/31/2007 0:00,122
2/28/2007 0:00,158
3/31/2007 0:00,90
4/30/2007 0:00,499
5/31/2007 0:00,234
6/30/2007 0:00,18
7/31/2007 0:00,22
8/31/2007 0:00,7
9/30/2007 0:00,201
10/31/2007 0:00,236
11/30/2007 0:00,119
12/31/2007 0:00,255
1/31/2008 0:00,249
2/29/2008 0:00,295
3/31/2008 0:00,1195
4/30/2008 0:00,498
5/31/2008 0:00,246
6/30/2008 0:00,62
7/31/2008 0:00,37
8/31/2008 0:00,16
9/30/2008 0:00,197
10/31/2008 0:00,129
11/30/2008 0:00,131
12/31/2008 0:00,92
1/31/2009 0:00,198
2/28/2009 0:00,287
3/31/2009 0:00,582
4/30/2009 0:00,148
5/31/2009 0:00,145
6/30/2009 0:00,71
7/31/2009 0:00,28
8/31/2009 0:00,11
9/30/2009 0:00,78
10/31/2009 0:00,178
11/30/2009 0:00,109
12/31/2009 0:00,224
1/31/2010 0:00,420
2/28/2010 0:00,210
3/31/2010 0:00,153
4/30/2010 0:00,423
5/31/2010 0:00,120
6/30/2010 0:00,30
7/31/2010 0:00,9
8/31/2010 0:00,4
9/30/2010 0:00,108
10/31/2010 0:00,442
11/30/2010 0:00,130
12/31/2010 0:00,506
1/31/2011 0:00,542
2/28/2011 0:00,216
3/31/2011 0:00,366
4/30/2011 0:00,636
5/31/2011 0:00,126
6/30/2011 0:00,32
7/31/2011 0:00,7
8/31/2011 0:00,7
9/30/2011 0:00,53
10/31/2011 0:00,109
11/30/2011 0:00,95
12/31/2011 0:00,119
1/31/2012 0:00,609
2/29/2012 0:00,182
3/31/2012 0:00,167
4/30/2012 0:00,32
5/31/2012 0:00,35
6/30/2012 0:00,9
7/31/2012 0:00,4
8/31/2012 0:00,4
9/30/2012 0:00,17
10/31/2012 0:00,73
11/30/2012 0:00,94
12/31/2012 0:00,25
1/31/2013 0:00,102
2/28/2013 0:00,114
3/31/2013 0:00,245
4/30/2013 0:00,236
5/31/2013 0:00,55
6/30/2013 0:00,9
7/31/2013 0:00,17
8/31/2013 0:00,9
9/30/2013 0:00,60
10/31/2013 0:00,145
11/30/2013 0:00,224
12/31/2013 0:00,197
1/31/2014 0:00,575
2/28/2014 0:00,126
3/31/2014 0:00,339
4/30/2014 0:00,485
5/31/2014 0:00,438
6/30/2014 0:00,46
7/31/2014 0:00,33
8/31/2014 0:00,69
9/30/2014 0:00,271
10/31/2014 0:00,558
11/30/2014 0:00,218
12/31/2014 0:00,138
1/31/2015 0:00,454
2/28/2015 0:00,924
3/31/2015 0:00,966
4/30/2015 0:00,342
5/31/2015 0:00,53
6/30/2015 0:00,19
7/31/2015 0:00,10
8/31/2015 0:00,23
9/30/2015 0:00,61
10/31/2015 0:00,94
11/30/2015 0:00,19
12/31/2015 0:00,59
1/31/2016 0:00,128
2/29/2016 0:00,119
3/31/2016 0:00,68
4/30/2016 0:00,93
5/31/2016 0:00,58
6/30/2016 0:00,18
7/31/2016 0:00,6
8/31/2016 0:00,11
9/30/2016 0:00,42
10/31/2016 0:00,88
11/30/2016 0:00,26
12/31/2016 0:00,179
1/31/2017 0:00,1027
2/28/2017 0:00,802
3/31/2017 0:00,1839
4/30/2017 0:00,2995
5/31/2017 0:00,2682
6/30/2017 0:00,221
7/31/2017 0:00,216
8/31/2017 0:00,539
9/30/2017 0:00,1679
10/31/2017 0:00,1639
11/30/2017 0:00,361
12/31/2017 0:00,1225
